type,source,number,old,new,note
answer_changed,M112 呼吸系統區段考,17,D,待確認（答案表：X）,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,31,B,C,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,32,A,B,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,33,B,D,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,35,B,D,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,36,D,A,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,37,C,B,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,38,D,C,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,39,A,D,依正式答案表覆蓋
answer_changed,M112 呼吸系統區段考,40,B,A,依正式答案表覆蓋
placeholder_added,M112 呼吸系統區段考,26,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M112 呼吸系統區段考,27,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M112 呼吸系統區段考,28,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M112 呼吸系統區段考,29,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M112 呼吸系統區段考,30,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,41,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,42,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,43,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,44,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,45,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,46,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,47,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,48,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,49,,,答案表有答案但目前無完整題幹/選項，不正常判分
placeholder_added,M114 呼吸系統區段考,50,,,答案表有答案但目前無完整題幹/選項，不正常判分
added_question,M114 呼吸系統區段考,14,,C,補回氣管食道瘻管圖片題
note,M116 呼吸系統區段考,6-10,,BAADB,答案表影像似 BAAADB（六碼），依五題格式使用 BAADB
